,State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20
16,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,2,5,1,0,15,2,3,14,16,13,24,14,11,12,34,30,42,54,31,13,0,44,49,41,42,26,17,7,61,31,0,0,0,0,0,0,302,44,55,53,17,19,62,51,31,33,34,17,32,33,37,25,44,46,11,14,54,41,48,27,21,12,6,18,21,35,39,0,23,9,45,9,21,28,32,11,14,23,14,25,17,17,9,11,14,24,15,23,19,4,13,14,8,9,9,21,3,5,16,8,13,19,6,0
17,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,5,1,0,3,3,3,1,1,8,6,7,4,5,1,7,5,10,6,2,3,9,8,0,10,1,1,6,2,4,2,6,1,6,1,3,11,5,3,0,4,5,0,6,5,1,4,3,2,0,1,1,5,2,0,1,0,3,2,1,3,0,0,0,1,6,4,0,7,0,0,4,0,2,0,5,0,0,2,0,2,0,1,8,1,0,2,0,2,5,3,1,2,2,2,0,0,0,0
18,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,4,1,0,0,7,3,11,4,3,5,11,7,4,9,12,2,0,16,11,6,7,8,8,4,6,17,14,6,9,5,3,5,12,10,5,8,0,5,8,14,8,11,4,6,0,7,10,5,2,4,2,0,12,20,10,10,5,0,0,0,3,6,9,9,13,0,8,3,8,7,8,4,0,2,6,6,10,4,1,0,6,6,7,2,3,2,2,0,11,1,8,7,1,4,2,5,7,9,4,0,0
19,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,6,0,14,10,20,18,36,18,17,32,49,34,40,58,42,64,37,67,72,50,53,49,34,0,177,88,56,58,54,28,31,75,70,68,61,43,26,26,59,44,60,64,23,19,21,50,50,42,18,40,17,28,39,44,34,34,30,12,15,19,28,20,28,27,7,18,11,19,19,44,0,5,5,33,36,13,29,13,11,6,13,12,18,10,8,9,5,23,20,0,22,20,1,12,18,18,12,26,0,9,4,23,18,17,22,0,11
20,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,4,10,10,9,4,8,33,33,32,38,25,15,28,95,75,70,96,87,70,86,113,151,135,156,155,145,111,152,220,177,194,173,168,110,152,253,157,153,132,155,86,122,212,132,150,138,137,129,34,174,168,110,113,92,65,76,128,82,80,76,67,44,57,73,92,77,51,77,182,52,67,51,37,53,27,37,53,46,37,47,38,48,23,19,69,35,30,27,28,16,21,48,26,44,24,10,12,-1,29,50,16,24,12
21,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,5,5,0,2,9,6,6,15,14,24,12,20,15,33,31,30,0,46,21,33,20,9,47,25,43,55,48,0,103,13,92,49,75,61,23,84,44,26,61,54,50,50,52,38,22,69,67,49,49,49,43,25,58,51,50,45,43,61,117,4,20,19,0,45,26,22,153,46,41,32,41,18,11,41,29,26,33,26,20,11,18,28,25,17,22,11,14,15,16,17,19,15,8,9,11,19,6,14,13,4
22,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,2,1,0,0,2,2,2,1,2,0,0,1,3,3,3,3,2,1,1,3,5,3,3,0,1,0,1,1,2,1,1,0,4,1,0,1,1,0,1,0,1,3,0,1,0,1,2,0,0,2,2,1,0,1,2,3,1,4,0,0,5,1,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0
23,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,8,9,18,16,29,18,23,57,75,75,82,61,61,76,111,117,113,115,202,104,90,0,287,149,173,132,79,81,75,236,111,162,106,184,41,86,159,103,116,76,154,29,81,41,72,90,51,132,23,30,88,39,74,38,56,10,24,99,43,67,29,61,5,13,27,68,36,33,55,28,23,36,19,25,258,36,4,17,32,10,28,7,25,3,3,16,2,26,6,19,3,6,12,6,18,3,19,4,4,32,5,13,3,4,0
24,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,4,0,0,4,1,8,2,4,1,5,5,11,7,7,6,0,8,8,8,17,10,13,9,17,19,20,21,23,28,14,15,18,24,27,24,24,9,27,31,23,26,24,20,13,23,24,25,19,17,21,9,17,29,32,32,10,17,13,18,33,35,29,31,14,10,22,14,29,33,21,16,11,21,19,13,25,9,15,6,9,12,18,20,11,8,4,9,4,9,5,6,8,10,6,4,13,8,0,5
25,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,3,0,1,1,2,1,1,4,1,0,4,10,5,12,6,21,19,12,1,0,24,14,5,12,11,1,1,12,18,11,44,11,1,14,26,4,11,8,14,1,6,18,20,21,32,23,10,5,35,18,20,15,13,6,11,11,14,31,10,5,5,4,1,9,11,30,34,1,0,11,4,2,10,9,0,12,20,8,13,10,7,0,2,2,26,37,3,8,1,5,5,9,7,8,6,0,2,16,3,-4,0,0,0
