"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Abraham","R","LA","legislator","Yea","R","Passed"
"party1",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Adams","D","NC","legislator","Yea","R","Passed"
"party2",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Aguilar","D","CA","legislator","Yea","R","Passed"
"party4",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Allen","R","GA","legislator","Yea","R","Passed"
"party5",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Amash","R","MI","legislator","Nay","R","Passed"
"party6",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Amodei","R","NV","legislator","Yea","R","Passed"
"party7",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Arrington","R","TX","legislator","Yea","R","Passed"
"party8",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Babin","R","TX","legislator","Yea","R","Passed"
"party9",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bacon","R","NE","legislator","Yea","R","Passed"
"party10",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Balderson","R","OH","legislator","Yea","R","Passed"
"party11",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Banks (IN)","R","IN","legislator","Yea","R","Passed"
"party12",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Barletta","R","PA","legislator","Not Voting","R","Passed"
"party13",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Barr","R","KY","legislator","Yea","R","Passed"
"party14",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Barragán","D","CA","legislator","Yea","R","Passed"
"party15",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Barton","R","TX","legislator","Yea","R","Passed"
"party16",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bass","D","CA","legislator","Yea","R","Passed"
"party17",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Beatty","D","OH","legislator","Yea","R","Passed"
"party18",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bera","D","CA","legislator","Yea","R","Passed"
"party19",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bergman","R","MI","legislator","Yea","R","Passed"
"party20",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Beyer","D","VA","legislator","Yea","R","Passed"
"party21",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Biggs","R","AZ","legislator","Nay","R","Passed"
"party22",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party23",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bishop (GA)","D","GA","legislator","Yea","R","Passed"
"party24",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bishop (MI)","R","MI","legislator","Yea","R","Passed"
"party25",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bishop (UT)","R","UT","legislator","Yea","R","Passed"
"party26",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Black","R","TN","legislator","Yea","R","Passed"
"party27",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Blackburn","R","TN","legislator","Yea","R","Passed"
"party28",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Blum","R","IA","legislator","Not Voting","R","Passed"
"party29",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Blumenauer","D","OR","legislator","Yea","R","Passed"
"party30",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Blunt Rochester","D","DE","legislator","Yea","R","Passed"
"party31",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bonamici","D","OR","legislator","Yea","R","Passed"
"party32",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bost","R","IL","legislator","Yea","R","Passed"
"party33",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Boyle, Brendan F.","D","PA","legislator","Yea","R","Passed"
"party34",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brady (PA)","D","PA","legislator","Not Voting","R","Passed"
"party35",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party36",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brat","R","VA","legislator","Yea","R","Passed"
"party37",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brooks (AL)","R","AL","legislator","Yea","R","Passed"
"party38",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brooks (IN)","R","IN","legislator","Yea","R","Passed"
"party39",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brown (MD)","D","MD","legislator","Yea","R","Passed"
"party40",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Brownley (CA)","D","CA","legislator","Not Voting","R","Passed"
"party41",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Buchanan","R","FL","legislator","Yea","R","Passed"
"party42",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Buck","R","CO","legislator","Yea","R","Passed"
"party43",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bucshon","R","IN","legislator","Not Voting","R","Passed"
"party44",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Budd","R","NC","legislator","Yea","R","Passed"
"party45",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Burgess","R","TX","legislator","Yea","R","Passed"
"party46",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Bustos","D","IL","legislator","Yea","R","Passed"
"party47",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Butterfield","D","NC","legislator","Yea","R","Passed"
"party48",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Byrne","R","AL","legislator","Yea","R","Passed"
"party49",2018,416,"115","2nd",1,"H R 6064","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2018-11-13,"Calvert","R","CA","legislator","Yea","R","Passed"
