"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Abraham","R","LA","legislator","Yea","R","Passed"
"party1",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Adams","D","NC","legislator","Yea","R","Passed"
"party2",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Aguilar","D","CA","legislator","Yea","R","Passed"
"party4",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Allen","R","GA","legislator","Yea","R","Passed"
"party5",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Amash","R","MI","legislator","Yea","R","Passed"
"party6",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Amodei","R","NV","legislator","Yea","R","Passed"
"party7",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Arrington","R","TX","legislator","Yea","R","Passed"
"party8",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Babin","R","TX","legislator","Yea","R","Passed"
"party9",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bacon","R","NE","legislator","Yea","R","Passed"
"party10",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Banks (IN)","R","IN","legislator","Yea","R","Passed"
"party11",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Barletta","R","PA","legislator","Yea","R","Passed"
"party12",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Barr","R","KY","legislator","Yea","R","Passed"
"party13",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Barragán","D","CA","legislator","Yea","R","Passed"
"party14",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Barton","R","TX","legislator","Yea","R","Passed"
"party15",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bass","D","CA","legislator","Yea","R","Passed"
"party16",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Beatty","D","OH","legislator","Yea","R","Passed"
"party17",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bera","D","CA","legislator","Yea","R","Passed"
"party18",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bergman","R","MI","legislator","Yea","R","Passed"
"party19",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Beyer","D","VA","legislator","Yea","R","Passed"
"party20",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Biggs","R","AZ","legislator","Yea","R","Passed"
"party21",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party22",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bishop (GA)","D","GA","legislator","Not Voting","R","Passed"
"party23",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bishop (MI)","R","MI","legislator","Yea","R","Passed"
"party24",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Bishop (UT)","R","UT","legislator","Yea","R","Passed"
"party25",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Black","R","TN","legislator","Yea","R","Passed"
"party26",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Blackburn","R","TN","legislator","Yea","R","Passed"
"party27",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Blum","R","IA","legislator","Yea","R","Passed"
"party28",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Blumenauer","D","OR","legislator","Yea","R","Passed"
"party29",2017,222,"115","1st",1,"H RES 187","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2017-04-25,"Blunt Rochester","D","DE","legislator","Yea","R","Passed"
