"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Abraham","R","LA","legislator","No","D","Passed"
"party1",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Adams","D","NC","legislator","Aye","D","Passed"
"party2",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Aderholt","R","AL","legislator","No","D","Passed"
"party3",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Aguilar","D","CA","legislator","Aye","D","Passed"
"party4",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Allen","R","GA","legislator","No","D","Passed"
"party5",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Allred","D","TX","legislator","No","D","Passed"
"party6",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Amash","I","MI","legislator","No","D","Passed"
"party7",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Amodei","R","NV","legislator","No","D","Passed"
"party8",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Armstrong","R","ND","legislator","No","D","Passed"
"party9",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Arrington","R","TX","legislator","No","D","Passed"
"party10",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Axne","D","IA","legislator","No","D","Passed"
"party11",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Babin","R","TX","legislator","No","D","Passed"
"party12",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Bacon","R","NE","legislator","No","D","Passed"
"party13",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Baird","R","IN","legislator","No","D","Passed"
"party14",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Balderson","R","OH","legislator","No","D","Passed"
"party15",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Banks","R","IN","legislator","No","D","Passed"
"party16",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Barr","R","KY","legislator","No","D","Passed"
"party17",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Barragán","D","CA","legislator","Aye","D","Passed"
"party18",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Bass","D","CA","legislator","Aye","D","Passed"
"party19",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Beatty","D","OH","legislator","Aye","D","Passed"
"party20",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Bera","D","CA","legislator","Aye","D","Passed"
"party21",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Bergman","R","MI","legislator","No","D","Passed"
"party22",2019,700,"116","1st",1,"H R 5377","On Passage","RECORDED VOTE",2019-12-19,"Beyer","D","VA","legislator","Aye","D","Passed"
