"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party1",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Alexander","R","LA","legislator","Yea","R","Passed"
"party2",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Amash","R","MI","legislator","Nay","R","Passed"
"party3",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Amodei","R","NV","legislator","Yea","R","Passed"
"party4",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party5",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bachmann","R","MN","legislator","Yea","R","Passed"
"party6",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bachus","R","AL","legislator","Yea","R","Passed"
"party7",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Barber","D","AZ","legislator","Yea","R","Passed"
"party8",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Barletta","R","PA","legislator","Yea","R","Passed"
"party9",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Barr","R","KY","legislator","Yea","R","Passed"
"party10",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Barrow","D","GA","legislator","Yea","R","Passed"
"party11",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Barton","R","TX","legislator","Yea","R","Passed"
"party12",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bass","D","CA","legislator","Yea","R","Passed"
"party13",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Beatty","D","OH","legislator","Yea","R","Passed"
"party14",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Becerra","D","CA","legislator","Yea","R","Passed"
"party15",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Benishek","R","MI","legislator","Nay","R","Passed"
"party16",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bentivolio","R","MI","legislator","Yea","R","Passed"
"party17",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bera","D","CA","legislator","Yea","R","Passed"
"party18",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party19",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bishop (GA)","D","GA","legislator","Yea","R","Passed"
"party20",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bishop (NY)","D","NY","legislator","Nay","R","Passed"
"party21",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bishop (UT)","R","UT","legislator","Not Voting","R","Passed"
"party22",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Black","R","TN","legislator","Yea","R","Passed"
"party23",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Blackburn","R","TN","legislator","Yea","R","Passed"
"party24",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bonamici","D","OR","legislator","Yea","R","Passed"
"party25",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bonner","R","AL","legislator","Yea","R","Passed"
"party26",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Boustany","R","LA","legislator","Yea","R","Passed"
"party27",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Brady (PA)","D","PA","legislator","Nay","R","Passed"
"party28",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party29",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Braley (IA)","D","IA","legislator","Not Voting","R","Passed"
"party30",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bridenstine","R","OK","legislator","Yea","R","Passed"
"party31",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Brooks (AL)","R","AL","legislator","Yea","R","Passed"
"party32",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Brooks (IN)","R","IN","legislator","Yea","R","Passed"
"party33",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Broun (GA)","R","GA","legislator","Yea","R","Passed"
"party34",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Brown (FL)","D","FL","legislator","Not Voting","R","Passed"
"party35",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Brownley (CA)","D","CA","legislator","Yea","R","Passed"
"party36",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Buchanan","R","FL","legislator","Yea","R","Passed"
"party37",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bucshon","R","IN","legislator","Yea","R","Passed"
"party38",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Burgess","R","TX","legislator","Nay","R","Passed"
"party39",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Bustos","D","IL","legislator","Yea","R","Passed"
"party40",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Butterfield","D","NC","legislator","Not Voting","R","Passed"
"party41",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Calvert","R","CA","legislator","Yea","R","Passed"
"party42",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Camp","R","MI","legislator","Yea","R","Passed"
"party43",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Campbell","R","CA","legislator","Yea","R","Passed"
"party44",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cantor","R","VA","legislator","Not Voting","R","Passed"
"party45",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Capito","R","WV","legislator","Yea","R","Passed"
"party46",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Capps","D","CA","legislator","Not Voting","R","Passed"
"party47",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Capuano","D","MA","legislator","Nay","R","Passed"
"party48",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cárdenas","D","CA","legislator","Yea","R","Passed"
"party49",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Carney","D","DE","legislator","Yea","R","Passed"
"party50",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Carson (IN)","D","IN","legislator","Yea","R","Passed"
"party51",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Carter","R","TX","legislator","Not Voting","R","Passed"
"party52",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cartwright","D","PA","legislator","Yea","R","Passed"
"party53",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cassidy","R","LA","legislator","Yea","R","Passed"
"party54",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Castor (FL)","D","FL","legislator","Nay","R","Passed"
"party55",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Castro (TX)","D","TX","legislator","Yea","R","Passed"
"party56",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Chabot","R","OH","legislator","Yea","R","Passed"
"party57",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Chaffetz","R","UT","legislator","Yea","R","Passed"
"party58",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Chu","D","CA","legislator","Nay","R","Passed"
"party59",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cicilline","D","RI","legislator","Yea","R","Passed"
"party60",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Clarke","D","NY","legislator","Nay","R","Passed"
"party61",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Clay","D","MO","legislator","Yea","R","Passed"
"party62",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cleaver","D","MO","legislator","Yea","R","Passed"
"party63",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Clyburn","D","SC","legislator","Yea","R","Passed"
"party64",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Coble","R","NC","legislator","Yea","R","Passed"
"party65",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Coffman","R","CO","legislator","Nay","R","Passed"
"party66",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cohen","D","TN","legislator","Yea","R","Passed"
"party67",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Cole","R","OK","legislator","Yea","R","Passed"
"party68",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Collins (GA)","R","GA","legislator","Nay","R","Passed"
"party69",2013,9,"113","1st",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",2013-01-14,"Collins (NY)","R","NY","legislator","Yea","R","Passed"
