"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Ackerman","D","NY","legislator","Yea","R","Passed"
"party1",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Adams","R","FL","legislator","Yea","R","Passed"
"party2",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Akin","R","MO","legislator","Not Voting","R","Passed"
"party4",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Alexander","R","LA","legislator","Yea","R","Passed"
"party5",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Altmire","D","PA","legislator","Yea","R","Passed"
"party6",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Amash","R","MI","legislator","Yea","R","Passed"
"party7",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Amodei","R","NV","legislator","Yea","R","Passed"
"party8",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Andrews","D","NJ","legislator","Not Voting","R","Passed"
"party9",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Austria","R","OH","legislator","Yea","R","Passed"
"party10",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Baca","D","CA","legislator","Yea","R","Passed"
"party11",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bachmann","R","MN","legislator","Not Voting","R","Passed"
"party12",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bachus","R","AL","legislator","Not Voting","R","Passed"
"party13",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Baldwin","D","WI","legislator","Yea","R","Passed"
"party14",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Barber","D","AZ","legislator","Yea","R","Passed"
"party15",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Barletta","R","PA","legislator","Yea","R","Passed"
"party16",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Barrow","D","GA","legislator","Yea","R","Passed"
"party17",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bartlett","R","MD","legislator","Not Voting","R","Passed"
"party18",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Barton (TX)","R","TX","legislator","Yea","R","Passed"
"party19",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bass (CA)","D","CA","legislator","Yea","R","Passed"
"party20",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bass (NH)","R","NH","legislator","Yea","R","Passed"
"party21",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Becerra","D","CA","legislator","Not Voting","R","Passed"
"party22",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Benishek","R","MI","legislator","Yea","R","Passed"
"party23",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Berg","R","ND","legislator","Yea","R","Passed"
"party24",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Berkley","D","NV","legislator","Yea","R","Passed"
"party25",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Berman","D","CA","legislator","Yea","R","Passed"
"party26",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Biggert","R","IL","legislator","Yea","R","Passed"
"party27",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bilbray","R","CA","legislator","Yea","R","Passed"
"party28",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party29",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bishop (GA)","D","GA","legislator","Yea","R","Passed"
"party30",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bishop (NY)","D","NY","legislator","Yea","R","Passed"
"party31",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bishop (UT)","R","UT","legislator","Yea","R","Passed"
"party32",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Black","R","TN","legislator","Yea","R","Passed"
"party33",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Blackburn","R","TN","legislator","Yea","R","Passed"
"party34",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Blumenauer","D","OR","legislator","Yea","R","Passed"
"party35",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bonamici","D","OR","legislator","Yea","R","Passed"
"party36",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bonner","R","AL","legislator","Yea","R","Passed"
"party37",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bono Mack","R","CA","legislator","Not Voting","R","Passed"
"party38",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Boren","D","OK","legislator","Not Voting","R","Passed"
"party39",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Boswell","D","IA","legislator","Yea","R","Passed"
"party40",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Boustany","R","LA","legislator","Yea","R","Passed"
"party41",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Brady (PA)","D","PA","legislator","Yea","R","Passed"
"party42",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Brady (TX)","R","TX","legislator","Not Voting","R","Passed"
"party43",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Braley (IA)","D","IA","legislator","Yea","R","Passed"
"party44",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Brooks","R","AL","legislator","Yea","R","Passed"
"party45",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Broun (GA)","R","GA","legislator","Nay","R","Passed"
"party46",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Brown (FL)","D","FL","legislator","Yea","R","Passed"
"party47",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Buchanan","R","FL","legislator","Yea","R","Passed"
"party48",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Bucshon","R","IN","legislator","Yea","R","Passed"
"party49",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Buerkle","R","NY","legislator","Yea","R","Passed"
"party50",2012,604,"112","2nd",1,"H R 6371","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2012-11-13,"Burgess","R","TX","legislator","Yea","R","Passed"
