"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Abercrombie","D","HI","legislator","Nay","R","Passed"
"party1",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Ackerman","D","NY","legislator","Not Voting","R","Passed"
"party2",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Akin","R","MO","legislator","Yea","R","Passed"
"party4",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Alexander","R","LA","legislator","Yea","R","Passed"
"party5",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Allen","D","ME","legislator","Nay","R","Passed"
"party6",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Andrews","D","NJ","legislator","Nay","R","Passed"
"party7",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Baca","D","CA","legislator","Nay","R","Passed"
"party8",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bachus","R","AL","legislator","Yea","R","Passed"
"party9",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Baird","D","WA","legislator","Not Voting","R","Passed"
"party10",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Baker","R","LA","legislator","Yea","R","Passed"
"party11",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Baldwin","D","WI","legislator","Nay","R","Passed"
"party12",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Barrett (SC)","R","SC","legislator","Yea","R","Passed"
"party13",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Barrow","D","GA","legislator","Nay","R","Passed"
"party14",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bartlett (MD)","R","MD","legislator","Yea","R","Passed"
"party15",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Barton (TX)","R","TX","legislator","Not Voting","R","Passed"
"party16",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bass","R","NH","legislator","Yea","R","Passed"
"party17",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bean","D","IL","legislator","Nay","R","Passed"
"party18",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Beauprez","R","CO","legislator","Yea","R","Passed"
"party19",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Becerra","D","CA","legislator","Nay","R","Passed"
"party20",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Berkley","D","NV","legislator","Not Voting","R","Passed"
"party21",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Berman","D","CA","legislator","Nay","R","Passed"
"party22",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Berry","D","AR","legislator","Nay","R","Passed"
"party23",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Biggert","R","IL","legislator","Yea","R","Passed"
"party24",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party25",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bishop (GA)","D","GA","legislator","Nay","R","Passed"
"party26",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bishop (NY)","D","NY","legislator","Nay","R","Passed"
"party27",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bishop (UT)","R","UT","legislator","Not Voting","R","Passed"
"party28",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Blackburn","R","TN","legislator","Yea","R","Passed"
"party29",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Blumenauer","D","OR","legislator","Nay","R","Passed"
"party30",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Blunt","R","MO","legislator","Not Voting","R","Passed"
"party31",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boehlert","R","NY","legislator","Yea","R","Passed"
"party32",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boehner","R","OH","legislator","Yea","R","Passed"
"party33",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bonilla","R","TX","legislator","Yea","R","Passed"
"party34",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bonner","R","AL","legislator","Yea","R","Passed"
"party35",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bono","R","CA","legislator","Yea","R","Passed"
"party36",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boozman","R","AR","legislator","Yea","R","Passed"
"party37",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boren","D","OK","legislator","Nay","R","Passed"
"party38",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boswell","D","IA","legislator","Nay","R","Passed"
"party39",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boucher","D","VA","legislator","Nay","R","Passed"
"party40",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boustany","R","LA","legislator","Yea","R","Passed"
"party41",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Boyd","D","FL","legislator","Nay","R","Passed"
"party42",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Bradley (NH)","R","NH","legislator","Yea","R","Passed"
"party43",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Brady (PA)","D","PA","legislator","Not Voting","R","Passed"
"party44",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party45",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Brown (OH)","D","OH","legislator","Not Voting","R","Passed"
"party46",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Brown (SC)","R","SC","legislator","Yea","R","Passed"
"party47",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Brown, Corrine","D","FL","legislator","Not Voting","R","Passed"
"party48",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Brown-Waite, Ginny","R","FL","legislator","Yea","R","Passed"
"party49",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Burgess","R","TX","legislator","Yea","R","Passed"
"party50",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Burton (IN)","R","IN","legislator","Yea","R","Passed"
"party51",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Butterfield","D","NC","legislator","Nay","R","Passed"
"party52",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Buyer","R","IN","legislator","Yea","R","Passed"
"party53",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Calvert","R","CA","legislator","Not Voting","R","Passed"
"party54",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Camp (MI)","R","MI","legislator","Yea","R","Passed"
"party55",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Campbell (CA)","R","CA","legislator","Yea","R","Passed"
"party56",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cannon","R","UT","legislator","Yea","R","Passed"
"party57",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cantor","R","VA","legislator","Yea","R","Passed"
"party58",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Capito","R","WV","legislator","Yea","R","Passed"
"party59",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Capps","D","CA","legislator","Nay","R","Passed"
"party60",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Capuano","D","MA","legislator","Not Voting","R","Passed"
"party61",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cardin","D","MD","legislator","Nay","R","Passed"
"party62",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cardoza","D","CA","legislator","Not Voting","R","Passed"
"party63",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Carnahan","D","MO","legislator","Not Voting","R","Passed"
"party64",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Carson","D","IN","legislator","Nay","R","Passed"
"party65",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Carter","R","TX","legislator","Yea","R","Passed"
"party66",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Case","D","HI","legislator","Not Voting","R","Passed"
"party67",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Castle","R","DE","legislator","Yea","R","Passed"
"party68",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Chabot","R","OH","legislator","Yea","R","Passed"
"party69",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Chandler","D","KY","legislator","Nay","R","Passed"
"party70",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Chocola","R","IN","legislator","Yea","R","Passed"
"party71",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Clay","D","MO","legislator","Not Voting","R","Passed"
"party72",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cleaver","D","MO","legislator","Nay","R","Passed"
"party73",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Clyburn","D","SC","legislator","Nay","R","Passed"
"party74",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Coble","R","NC","legislator","Not Voting","R","Passed"
"party75",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cole (OK)","R","OK","legislator","Yea","R","Passed"
"party76",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Conaway","R","TX","legislator","Yea","R","Passed"
"party77",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Conyers","D","MI","legislator","Nay","R","Passed"
"party78",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cooper","D","TN","legislator","Nay","R","Passed"
"party79",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Costa","D","CA","legislator","Not Voting","R","Passed"
"party80",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Costello","D","IL","legislator","Nay","R","Passed"
"party81",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cramer","D","AL","legislator","Nay","R","Passed"
"party82",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Crenshaw","R","FL","legislator","Yea","R","Passed"
"party83",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Crowley","D","NY","legislator","Nay","R","Passed"
"party84",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cubin","R","WY","legislator","Yea","R","Passed"
"party85",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Cuellar","D","TX","legislator","Nay","R","Passed"
"party86",2006,255,"109","2nd",1,"H RES 857","On Ordering the Previous Question","YEA-AND-NAY",2006-06-12,"Culberson","R","TX","legislator","Yea","R","Passed"
