"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Abercrombie","D","HI","legislator","Nay","R","Passed"
"party1",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Ackerman","D","NY","legislator","Nay","R","Passed"
"party2",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Allen","D","ME","legislator","Nay","R","Passed"
"party4",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Andrews","D","NJ","legislator","Nay","R","Passed"
"party5",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Archer","R","TX","legislator","Yea","R","Passed"
"party6",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Armey","R","TX","legislator","Yea","R","Passed"
"party7",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bachus","R","AL","legislator","Yea","R","Passed"
"party8",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Baird","D","WA","legislator","Nay","R","Passed"
"party9",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Baker","R","LA","legislator","Yea","R","Passed"
"party10",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Baldacci","D","ME","legislator","Nay","R","Passed"
"party11",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Baldwin","D","WI","legislator","Nay","R","Passed"
"party12",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Ballenger","R","NC","legislator","Yea","R","Passed"
"party13",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Barcia","D","MI","legislator","Nay","R","Passed"
"party14",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Barr","R","GA","legislator","Yea","R","Passed"
"party15",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Barrett (NE)","R","NE","legislator","Yea","R","Passed"
"party16",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Barrett (WI)","D","WI","legislator","Nay","R","Passed"
"party17",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bartlett","R","MD","legislator","Yea","R","Passed"
"party18",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Barton","R","TX","legislator","Yea","R","Passed"
"party19",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bass","R","NH","legislator","Yea","R","Passed"
"party20",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bateman","R","VA","legislator","Yea","R","Passed"
"party21",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Becerra","D","CA","legislator","Nay","R","Passed"
"party22",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bentsen","D","TX","legislator","Nay","R","Passed"
"party23",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bereuter","R","NE","legislator","Yea","R","Passed"
"party24",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Berkley","D","NV","legislator","Nay","R","Passed"
"party25",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Berman","D","CA","legislator","Nay","R","Passed"
"party26",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Berry","D","AR","legislator","Nay","R","Passed"
"party27",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Biggert","R","IL","legislator","Yea","R","Passed"
"party28",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bilbray","R","CA","legislator","Yea","R","Passed"
"party29",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party30",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bishop","D","GA","legislator","Nay","R","Passed"
"party31",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Blagojevich","D","IL","legislator","Nay","R","Passed"
"party32",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bliley","R","VA","legislator","Yea","R","Passed"
"party33",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Blumenauer","D","OR","legislator","Nay","R","Passed"
"party34",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Blunt","R","MO","legislator","Not Voting","R","Passed"
"party35",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Boehlert","R","NY","legislator","Yea","R","Passed"
"party36",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Boehner","R","OH","legislator","Yea","R","Passed"
"party37",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bonilla","R","TX","legislator","Yea","R","Passed"
"party38",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bonior","D","MI","legislator","Not Voting","R","Passed"
"party39",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Bono","R","CA","legislator","Yea","R","Passed"
"party40",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Borski","D","PA","legislator","Nay","R","Passed"
"party41",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Boswell","D","IA","legislator","Nay","R","Passed"
"party42",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Boucher","D","VA","legislator","Nay","R","Passed"
"party43",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Boyd","D","FL","legislator","Nay","R","Passed"
"party44",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Brady (PA)","D","PA","legislator","Nay","R","Passed"
"party45",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party46",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Brown (CA)","D","CA","legislator","Nay","R","Passed"
"party47",1999,5,"106","1st",1,"H RES 5","On Agreeing to the Resolution","YEA-AND-NAY",1999-01-06,"Brown (FL)","D","FL","legislator","Nay","R","Passed"
