"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party1",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Amash","R","MI","legislator","Yea","R","Passed"
"party2",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Amodei","R","NV","legislator","Not Voting","R","Passed"
"party3",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bachmann","R","MN","legislator","Not Voting","R","Passed"
"party4",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bachus","R","AL","legislator","Yea","R","Passed"
"party5",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Barber","D","AZ","legislator","Nay","R","Passed"
"party6",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Barletta","R","PA","legislator","Yea","R","Passed"
"party7",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Barr","R","KY","legislator","Yea","R","Passed"
"party8",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Barrow (GA)","D","GA","legislator","Nay","R","Passed"
"party9",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Barton","R","TX","legislator","Yea","R","Passed"
"party10",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bass","D","CA","legislator","Not Voting","R","Passed"
"party11",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Beatty","D","OH","legislator","Nay","R","Passed"
"party12",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Becerra","D","CA","legislator","Nay","R","Passed"
"party13",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Benishek","R","MI","legislator","Yea","R","Passed"
"party14",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bentivolio","R","MI","legislator","Yea","R","Passed"
"party15",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bera (CA)","D","CA","legislator","Nay","R","Passed"
"party16",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party17",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bishop (GA)","D","GA","legislator","Nay","R","Passed"
"party18",2014,125,"113","2nd",1,"H RES 515","On Ordering the Previous Question","YEA-AND-NAY",2014-03-13,"Bishop (NY)","D","NY","legislator","Nay","R","Passed"
