"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Abercrombie","D","HI","legislator","Yea","R","Passed"
"party1",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Ackerman","D","NY","legislator","Yea","R","Passed"
"party2",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Akin","R","MO","legislator","Yea","R","Passed"
"party4",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Allen","D","ME","legislator","Yea","R","Passed"
"party5",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party6",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Armey","R","TX","legislator","Yea","R","Passed"
"party7",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Baca","D","CA","legislator","Yea","R","Passed"
"party8",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bachus","R","AL","legislator","Yea","R","Passed"
"party9",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Baird","D","WA","legislator","Yea","R","Passed"
"party10",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Baker","R","LA","legislator","Yea","R","Passed"
"party11",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Baldacci","D","ME","legislator","Yea","R","Passed"
"party12",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Baldwin","D","WI","legislator","Yea","R","Passed"
"party13",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Ballenger","R","NC","legislator","Yea","R","Passed"
"party14",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Barcia","D","MI","legislator","Yea","R","Passed"
"party15",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Barr","R","GA","legislator","Yea","R","Passed"
"party16",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Barrett","D","WI","legislator","Yea","R","Passed"
"party17",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bartlett","R","MD","legislator","Yea","R","Passed"
"party18",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Barton","R","TX","legislator","Yea","R","Passed"
"party19",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bass","R","NH","legislator","Yea","R","Passed"
"party20",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Becerra","D","CA","legislator","Yea","R","Passed"
"party21",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bentsen","D","TX","legislator","Yea","R","Passed"
"party22",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bereuter","R","NE","legislator","Yea","R","Passed"
"party23",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Berkley","D","NV","legislator","Yea","R","Passed"
"party24",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Berman","D","CA","legislator","Not Voting","R","Passed"
"party25",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Berry","D","AR","legislator","Yea","R","Passed"
"party26",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Biggert","R","IL","legislator","Yea","R","Passed"
"party27",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bilirakis","R","FL","legislator","Not Voting","R","Passed"
"party28",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bishop","D","GA","legislator","Yea","R","Passed"
"party29",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Blagojevich","D","IL","legislator","Yea","R","Passed"
"party30",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Blumenauer","D","OR","legislator","Yea","R","Passed"
"party31",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Blunt","R","MO","legislator","Yea","R","Passed"
"party32",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Boehlert","R","NY","legislator","Yea","R","Passed"
"party33",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Boehner","R","OH","legislator","Yea","R","Passed"
"party34",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bonilla","R","TX","legislator","Yea","R","Passed"
"party35",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bonior","D","MI","legislator","Yea","R","Passed"
"party36",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bono","R","CA","legislator","Yea","R","Passed"
"party37",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Borski","D","PA","legislator","Yea","R","Passed"
"party38",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Boswell","D","IA","legislator","Yea","R","Passed"
"party39",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Boucher","D","VA","legislator","Yea","R","Passed"
"party40",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Boyd","D","FL","legislator","Yea","R","Passed"
"party41",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Brady (PA)","D","PA","legislator","Yea","R","Passed"
"party42",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party43",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Brown (FL)","D","FL","legislator","Yea","R","Passed"
"party44",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Brown (OH)","D","OH","legislator","Yea","R","Passed"
"party45",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Brown (SC)","R","SC","legislator","Yea","R","Passed"
"party46",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Bryant","R","TN","legislator","Yea","R","Passed"
"party47",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Burr","R","NC","legislator","Yea","R","Passed"
"party48",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Burton","R","IN","legislator","Not Voting","R","Passed"
"party49",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Buyer","R","IN","legislator","Yea","R","Passed"
"party50",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Callahan","R","AL","legislator","Yea","R","Passed"
"party51",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Calvert","R","CA","legislator","Yea","R","Passed"
"party52",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Camp","R","MI","legislator","Yea","R","Passed"
"party53",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Cannon","R","UT","legislator","Yea","R","Passed"
"party54",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Cantor","R","VA","legislator","Yea","R","Passed"
"party55",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Capito","R","WV","legislator","Yea","R","Passed"
"party56",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Capps","D","CA","legislator","Yea","R","Passed"
"party57",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Capuano","D","MA","legislator","Yea","R","Passed"
"party58",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Cardin","D","MD","legislator","Yea","R","Passed"
"party59",2001,395,"107","1st",1,"H R 3086","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2001-10-23,"Carson (IN)","D","IN","legislator","Yea","R","Passed"
