"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Abraham","R","LA","legislator","Yea","R","Passed"
"party1",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Adams","D","NC","legislator","Nay","R","Passed"
"party2",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Aguilar","D","CA","legislator","Nay","R","Passed"
"party4",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Allen","R","GA","legislator","Yea","R","Passed"
"party5",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Amash","R","MI","legislator","Yea","R","Passed"
"party6",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Amodei","R","NV","legislator","Yea","R","Passed"
"party7",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Ashford","D","NE","legislator","Nay","R","Passed"
"party8",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Babin","R","TX","legislator","Not Voting","R","Passed"
"party9",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Barletta","R","PA","legislator","Yea","R","Passed"
"party10",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Barr","R","KY","legislator","Yea","R","Passed"
"party11",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Barton","R","TX","legislator","Yea","R","Passed"
"party12",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bass","D","CA","legislator","Nay","R","Passed"
"party13",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Beatty","D","OH","legislator","Nay","R","Passed"
"party14",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Becerra","D","CA","legislator","Nay","R","Passed"
"party15",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Benishek","R","MI","legislator","Yea","R","Passed"
"party16",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bera","D","CA","legislator","Nay","R","Passed"
"party17",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Beyer","D","VA","legislator","Nay","R","Passed"
"party18",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party19",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bishop (GA)","D","GA","legislator","Nay","R","Passed"
"party20",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bishop (MI)","R","MI","legislator","Yea","R","Passed"
"party21",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bishop (UT)","R","UT","legislator","Not Voting","R","Passed"
"party22",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Black","R","TN","legislator","Yea","R","Passed"
"party23",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Blackburn","R","TN","legislator","Yea","R","Passed"
"party24",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Blum","R","IA","legislator","Yea","R","Passed"
"party25",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Blumenauer","D","OR","legislator","Nay","R","Passed"
"party26",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bonamici","D","OR","legislator","Nay","R","Passed"
"party27",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bost","R","IL","legislator","Yea","R","Passed"
"party28",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Boustany","R","LA","legislator","Yea","R","Passed"
"party29",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Boyle (PA)","D","PA","legislator","Nay","R","Passed"
"party30",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brady (PA)","D","PA","legislator","Nay","R","Passed"
"party31",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party32",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brat","R","VA","legislator","Yea","R","Passed"
"party33",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bridenstine","R","OK","legislator","Yea","R","Passed"
"party34",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brooks (AL)","R","AL","legislator","Yea","R","Passed"
"party35",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brooks (IN)","R","IN","legislator","Yea","R","Passed"
"party36",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brown (FL)","D","FL","legislator","Nay","R","Passed"
"party37",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Brownley (CA)","D","CA","legislator","Nay","R","Passed"
"party38",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Buchanan","R","FL","legislator","Yea","R","Passed"
"party39",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Buck","R","CO","legislator","Yea","R","Passed"
"party40",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bucshon","R","IN","legislator","Yea","R","Passed"
"party41",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Burgess","R","TX","legislator","Yea","R","Passed"
"party42",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Bustos","D","IL","legislator","Nay","R","Passed"
"party43",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Butterfield","D","NC","legislator","Nay","R","Passed"
"party44",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Byrne","R","AL","legislator","Yea","R","Passed"
"party45",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Calvert","R","CA","legislator","Yea","R","Passed"
"party46",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Capps","D","CA","legislator","Nay","R","Passed"
"party47",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Capuano","D","MA","legislator","Nay","R","Passed"
"party48",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Cárdenas","D","CA","legislator","Nay","R","Passed"
"party49",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Carney","D","DE","legislator","Not Voting","R","Passed"
"party50",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Carson (IN)","D","IN","legislator","Nay","R","Passed"
"party51",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Carter (GA)","R","GA","legislator","Not Voting","R","Passed"
"party52",2015,3,"114","1st",1,"H RES 5","Table Motion to Refer","YEA-AND-NAY",2015-01-06,"Cartwright","D","PA","legislator","Not Voting","R","Passed"
