"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Abercrombie","D","HI","legislator","Present","R","Passed"
"party1",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Ackerman","D","NY","legislator","Not Voting","R","Passed"
"party2",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Aderholt","R","AL","legislator","Present","R","Passed"
"party3",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Allen","D","ME","legislator","Present","R","Passed"
"party4",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Andrews","D","NJ","legislator","Present","R","Passed"
"party5",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Archer","R","TX","legislator","Not Voting","R","Passed"
"party6",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Armey","R","TX","legislator","Present","R","Passed"
"party7",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Bachus","R","AL","legislator","Present","R","Passed"
"party8",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Baesler","D","KY","legislator","Present","R","Passed"
"party9",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Baker","R","LA","legislator","Present","R","Passed"
"party10",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Baldacci","D","ME","legislator","Present","R","Passed"
"party11",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Ballenger","R","NC","legislator","Present","R","Passed"
"party12",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Barcia","D","MI","legislator","Present","R","Passed"
"party13",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Barr","R","GA","legislator","Present","R","Passed"
"party14",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Barrett (NE)","R","NE","legislator","Present","R","Passed"
"party15",1998,99,"105","2nd",1,"QUORUM","Call of the House","QUORUM",1998-04-21,"Barrett (WI)","D","WI","legislator","Present","R","Passed"
