"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Abercrombie","D","HI","legislator","Yea","D","Passed"
"party1",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Ackerman","D","NY","legislator","Not Voting","D","Passed"
"party2",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Alexander","D","AR","legislator","Yea","D","Passed"
"party3",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Allard","R","CO","legislator","Yea","D","Passed"
"party4",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Allen","R","VA","legislator","Yea","D","Passed"
"party5",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Anderson","D","CA","legislator","Yea","D","Passed"
"party6",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Andrews (ME)","D","ME","legislator","Yea","D","Passed"
"party7",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Andrews","D","NJ","legislator","Yea","D","Passed"
"party8",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Andrews (TX)","D","TX","legislator","Yea","D","Passed"
"party9",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Annunzio","D","IL","legislator","Not Voting","D","Passed"
"party10",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Anthony","D","AR","legislator","Yea","D","Passed"
"party11",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Applegate","D","OH","legislator","Yea","D","Passed"
"party12",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Archer","R","TX","legislator","Yea","D","Passed"
"party13",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Armey","R","TX","legislator","Not Voting","D","Passed"
"party14",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Aspin","D","WI","legislator","Yea","D","Passed"
"party15",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Atkins","D","MA","legislator","Yea","D","Passed"
"party16",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"AuCoin","D","OR","legislator","Nay","D","Passed"
"party17",1992,488,"102","2nd",1,"ADJOURN"," ","YEA-AND-NAY",1992-10-05,"Bacchus (FL)","D","FL","legislator","Not Voting","D","Passed"
