"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Abercrombie","D","HI","legislator","Not Voting","R","Passed"
"party1",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Ackerman","D","NY","legislator","Not Voting","R","Passed"
"party2",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Allard","R","CO","legislator","Yea","R","Passed"
"party3",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Andrews","D","NJ","legislator","Nay","R","Passed"
"party4",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Archer","R","TX","legislator","Yea","R","Passed"
"party5",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Armey","R","TX","legislator","Yea","R","Passed"
"party6",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Bachus","R","AL","legislator","Yea","R","Passed"
"party7",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Baesler","D","KY","legislator","Yea","R","Passed"
"party8",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Baker (CA)","R","CA","legislator","Not Voting","R","Passed"
"party9",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Baker (LA)","R","LA","legislator","Yea","R","Passed"
"party10",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Baldacci","D","ME","legislator","Nay","R","Passed"
"party11",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Ballenger","R","NC","legislator","Yea","R","Passed"
"party12",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Barcia","D","MI","legislator","Nay","R","Passed"
"party13",1995,863,"104","1st",1,"MOTION","Motion to declare recesses","YEA-AND-NAY",1995-12-15,"Barr","R","GA","legislator","Yea","R","Passed"
