"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Abercrombie","D","HI","legislator","Yea","R","Passed"
"party1",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Ackerman","D","NY","legislator","Not Voting","R","Passed"
"party2",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Allen","D","ME","legislator","Yea","R","Passed"
"party4",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party5",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Archer","R","TX","legislator","Yea","R","Passed"
"party6",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Armey","R","TX","legislator","Yea","R","Passed"
"party7",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bachus","R","AL","legislator","Yea","R","Passed"
"party8",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Baesler","D","KY","legislator","Not Voting","R","Passed"
"party9",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Baker","R","LA","legislator","Not Voting","R","Passed"
"party10",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Baldacci","D","ME","legislator","Yea","R","Passed"
"party11",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Ballenger","R","NC","legislator","Yea","R","Passed"
"party12",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Barcia","D","MI","legislator","Yea","R","Passed"
"party13",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Barr","R","GA","legislator","Nay","R","Passed"
"party14",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Barrett (NE)","R","NE","legislator","Yea","R","Passed"
"party15",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Barrett (WI)","D","WI","legislator","Yea","R","Passed"
"party16",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bartlett","R","MD","legislator","Nay","R","Passed"
"party17",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Barton","R","TX","legislator","Yea","R","Passed"
"party18",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bass","R","NH","legislator","Yea","R","Passed"
"party19",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bateman","R","VA","legislator","Yea","R","Passed"
"party20",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Becerra","D","CA","legislator","Nay","R","Passed"
"party21",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bentsen","D","TX","legislator","Yea","R","Passed"
"party22",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bereuter","R","NE","legislator","Yea","R","Passed"
"party23",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Berman","D","CA","legislator","Yea","R","Passed"
"party24",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Berry","D","AR","legislator","Yea","R","Passed"
"party25",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bilbray","R","CA","legislator","Yea","R","Passed"
"party26",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party27",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bishop","D","GA","legislator","Yea","R","Passed"
"party28",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Blagojevich","D","IL","legislator","Not Voting","R","Passed"
"party29",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bliley","R","VA","legislator","Yea","R","Passed"
"party30",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Blumenauer","D","OR","legislator","Not Voting","R","Passed"
"party31",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Blunt","R","MO","legislator","Nay","R","Passed"
"party32",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Boehlert","R","NY","legislator","Yea","R","Passed"
"party33",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Boehner","R","OH","legislator","Yea","R","Passed"
"party34",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bonilla","R","TX","legislator","Yea","R","Passed"
"party35",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bonior","D","MI","legislator","Nay","R","Passed"
"party36",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bono","R","CA","legislator","Yea","R","Passed"
"party37",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Borski","D","PA","legislator","Yea","R","Passed"
"party38",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Boswell","D","IA","legislator","Yea","R","Passed"
"party39",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Boucher","D","VA","legislator","Not Voting","R","Passed"
"party40",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Boyd","D","FL","legislator","Yea","R","Passed"
"party41",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Brady","R","TX","legislator","Yea","R","Passed"
"party42",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Brown (CA)","D","CA","legislator","Yea","R","Passed"
"party43",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Brown (FL)","D","FL","legislator","Nay","R","Passed"
"party44",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Brown (OH)","D","OH","legislator","Nay","R","Passed"
"party45",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bryant","R","TN","legislator","Nay","R","Passed"
"party46",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Bunning","R","KY","legislator","Yea","R","Passed"
"party47",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Burr","R","NC","legislator","Yea","R","Passed"
"party48",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Burton","R","IN","legislator","Yea","R","Passed"
"party49",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Buyer","R","IN","legislator","Yea","R","Passed"
"party50",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Callahan","R","AL","legislator","Yea","R","Passed"
"party51",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Calvert","R","CA","legislator","Yea","R","Passed"
"party52",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Camp","R","MI","legislator","Yea","R","Passed"
"party53",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Campbell","R","CA","legislator","Nay","R","Passed"
"party54",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Canady","R","FL","legislator","Yea","R","Passed"
"party55",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Cannon","R","UT","legislator","Yea","R","Passed"
"party56",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Cardin","D","MD","legislator","Yea","R","Passed"
"party57",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Carson","D","IN","legislator","Yea","R","Passed"
"party58",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Castle","R","DE","legislator","Yea","R","Passed"
"party59",1997,640,"105","1st",1,"H R 2267","On Agreeing to the Conference Report","YEA-AND-NAY",1997-11-13,"Chabot","R","OH","legislator","Nay","R","Passed"
