"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Abraham","R","LA","legislator","Yea","D","Passed"
"party1",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Adams","D","NC","legislator","Yea","D","Passed"
"party2",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Aderholt","R","AL","legislator","Yea","D","Passed"
"party3",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Aguilar","D","CA","legislator","Yea","D","Passed"
"party4",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Allen","R","GA","legislator","Yea","D","Passed"
"party5",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Allred","D","TX","legislator","Yea","D","Passed"
"party6",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Amash","I","MI","legislator","Present","D","Passed"
"party7",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Amodei","R","NV","legislator","Yea","D","Passed"
"party8",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Armstrong","R","ND","legislator","Yea","D","Passed"
"party9",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Arrington","R","TX","legislator","Yea","D","Passed"
"party10",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Axne","D","IA","legislator","Yea","D","Passed"
"party11",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Babin","R","TX","legislator","Not Voting","D","Passed"
"party12",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Bacon","R","NE","legislator","Yea","D","Passed"
"party13",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Baird","R","IN","legislator","Not Voting","D","Passed"
"party14",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Balderson","R","OH","legislator","Yea","D","Passed"
"party15",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Banks","R","IN","legislator","Yea","D","Passed"
"party16",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Barr","R","KY","legislator","Yea","D","Passed"
"party17",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Barragán","D","CA","legislator","Not Voting","D","Passed"
"party18",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Bass","D","CA","legislator","Yea","D","Passed"
"party19",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Beatty","D","OH","legislator","Yea","D","Passed"
"party20",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Bera","D","CA","legislator","Yea","D","Passed"
"party21",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Bergman","R","MI","legislator","Yea","D","Passed"
"party22",2020,104,"116","2nd",1,"H R 266","On Motion to Suspend the Rules and Concur in the Senate Amendment","2/3 YEA-AND-NAY",2020-04-23,"Beyer","D","VA","legislator","Yea","D","Passed"
