"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Abraham","R","LA","legislator","Yea","R","Passed"
"party1",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Adams","D","NC","legislator","Yea","R","Passed"
"party2",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Aguilar","D","CA","legislator","Yea","R","Passed"
"party4",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Allen","R","GA","legislator","Yea","R","Passed"
"party5",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Amash","R","MI","legislator","Nay","R","Passed"
"party6",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Amodei","R","NV","legislator","Yea","R","Passed"
"party7",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Ashford","D","NE","legislator","Yea","R","Passed"
"party8",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Babin","R","TX","legislator","Nay","R","Passed"
"party9",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Barletta","R","PA","legislator","Yea","R","Passed"
"party10",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Barr","R","KY","legislator","Yea","R","Passed"
"party11",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Barton","R","TX","legislator","Yea","R","Passed"
"party12",2016,575,"114","2nd",1,"H R 985","On Motion to Suspend the Rules and Pass, as Amended","2/3 YEA-AND-NAY",2016-11-14,"Bass","D","CA","legislator","Yea","R","Passed"
