"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Abercrombie","D","HI","legislator","Yea","D","Passed"
"party1",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Ackerman","D","NY","legislator","Yea","D","Passed"
"party2",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Aderholt","R","AL","legislator","Yea","D","Passed"
"party3",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Akin","R","MO","legislator","Yea","D","Passed"
"party4",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Alexander","R","LA","legislator","Yea","D","Passed"
"party5",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Allen","D","ME","legislator","Yea","D","Passed"
"party6",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Altmire","D","PA","legislator","Yea","D","Passed"
"party7",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Andrews","D","NJ","legislator","Yea","D","Passed"
"party8",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Arcuri","D","NY","legislator","Yea","D","Passed"
"party9",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Baca","D","CA","legislator","Yea","D","Passed"
"party10",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Bachmann","R","MN","legislator","Yea","D","Passed"
"party11",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Bachus","R","AL","legislator","Yea","D","Passed"
"party12",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Baird","D","WA","legislator","Yea","D","Passed"
"party13",2008,115,"110","2nd",1,"H RES 924","On Motion to Suspend the Rules and Agree, as Amended","2/3 YEA-AND-NAY",2008-03-11,"Baldwin","D","WI","legislator","Yea","D","Passed"
