"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Abercrombie","D","HI","legislator","Present","D","Passed"
"party1",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Ackerman","D","NY","legislator","Present","D","Passed"
"party2",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Alexander","D","AR","legislator","Present","D","Passed"
"party3",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Allard","R","CO","legislator","Present","D","Passed"
"party4",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Anderson","D","CA","legislator","Present","D","Passed"
"party5",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Andrews (ME)","D","ME","legislator","Present","D","Passed"
"party6",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Andrews","D","NJ","legislator","Present","D","Passed"
"party7",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Andrews (TX)","D","TX","legislator","Present","D","Passed"
"party8",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Annunzio","D","IL","legislator","Present","D","Passed"
"party9",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Anthony","D","AR","legislator","Present","D","Passed"
"party10",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Applegate","D","OH","legislator","Present","D","Passed"
"party11",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Archer","R","TX","legislator","Present","D","Passed"
"party12",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Armey","R","TX","legislator","Present","D","Passed"
"party13",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Aspin","D","WI","legislator","Present","D","Passed"
"party14",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Atkins","D","MA","legislator","Present","D","Passed"
"party15",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"AuCoin","D","OR","legislator","Present","D","Passed"
"party16",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bacchus (FL)","D","FL","legislator","Present","D","Passed"
"party17",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Baker (LA)","R","LA","legislator","Present","D","Passed"
"party18",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Ballenger","R","NC","legislator","Present","D","Passed"
"party19",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Barnard","D","GA","legislator","Present","D","Passed"
"party20",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Barrett (NE)","R","NE","legislator","Present","D","Passed"
"party21",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bartlett","R","TX","legislator","Present","D","Passed"
"party22",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Barton","R","TX","legislator","Present","D","Passed"
"party23",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bateman","R","VA","legislator","Present","D","Passed"
"party24",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Beilenson","D","CA","legislator","Present","D","Passed"
"party25",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bennett","D","FL","legislator","Present","D","Passed"
"party26",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bentley","R","MD","legislator","Present","D","Passed"
"party27",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bereuter","R","NE","legislator","Present","D","Passed"
"party28",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Berman","D","CA","legislator","Present","D","Passed"
"party29",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bevill","D","AL","legislator","Present","D","Passed"
"party30",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bilbray","D","NV","legislator","Present","D","Passed"
"party31",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bilirakis","R","FL","legislator","Present","D","Passed"
"party32",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bliley","R","VA","legislator","Present","D","Passed"
"party33",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Boehlert","R","NY","legislator","Present","D","Passed"
"party34",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Boehner","R","OH","legislator","Present","D","Passed"
"party35",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bonior","D","MI","legislator","Present","D","Passed"
"party36",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Borski","D","PA","legislator","Present","D","Passed"
"party37",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Boucher","D","VA","legislator","Present","D","Passed"
"party38",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Boxer","D","CA","legislator","Present","D","Passed"
"party39",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Brewster","D","OK","legislator","Present","D","Passed"
"party40",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Brooks","D","TX","legislator","Present","D","Passed"
"party41",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Broomfield","R","MI","legislator","Present","D","Passed"
"party42",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Browder","D","AL","legislator","Present","D","Passed"
"party43",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Brown (CA)","D","CA","legislator","Present","D","Passed"
"party44",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bruce","D","IL","legislator","Present","D","Passed"
"party45",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bryant (TX)","D","TX","legislator","Present","D","Passed"
"party46",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bunning","R","KY","legislator","Present","D","Passed"
"party47",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Burton","R","IN","legislator","Present","D","Passed"
"party48",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Bustamante","D","TX","legislator","Present","D","Passed"
"party49",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Byron","D","MD","legislator","Present","D","Passed"
"party50",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Callahan","R","AL","legislator","Present","D","Passed"
"party51",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Camp","R","MI","legislator","Present","D","Passed"
"party52",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Campbell (CA)","R","CA","legislator","Present","D","Passed"
"party53",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Campbell (CO)","D","CO","legislator","Present","D","Passed"
"party54",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Cardin","D","MD","legislator","Present","D","Passed"
"party55",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Carper","D","DE","legislator","Present","D","Passed"
"party56",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Chandler","R","WA","legislator","Present","D","Passed"
"party57",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Clay","D","MO","legislator","Present","D","Passed"
"party58",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Clement","D","TN","legislator","Present","D","Passed"
"party59",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Clinger","R","PA","legislator","Present","D","Passed"
"party60",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Coble","R","NC","legislator","Present","D","Passed"
"party61",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Coleman (MO)","R","MO","legislator","Present","D","Passed"
"party62",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Coleman","D","TX","legislator","Present","D","Passed"
"party63",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Collins (IL)","D","IL","legislator","Present","D","Passed"
"party64",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Collins (MI)","D","MI","legislator","Present","D","Passed"
"party65",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Combest","R","TX","legislator","Present","D","Passed"
"party66",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Condit","D","CA","legislator","Present","D","Passed"
"party67",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Conte","R","MA","legislator","Present","D","Passed"
"party68",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Conyers","D","MI","legislator","Present","D","Passed"
"party69",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Cooper","D","TN","legislator","Present","D","Passed"
"party70",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Costello","D","IL","legislator","Present","D","Passed"
"party71",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Coughlin","R","PA","legislator","Present","D","Passed"
"party72",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Cox","R","CA","legislator","Present","D","Passed"
"party73",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Cox  (IL)","D","IL","legislator","Present","D","Passed"
"party74",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Coyne","D","PA","legislator","Present","D","Passed"
"party75",1991,1,"102","1st",1,"QUORUM 1","Call of the House","QUORUM",1991-01-03,"Cramer","D","AL","legislator","Present","D","Passed"
