"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party139",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gillmor","R","OH","legislator","Yea","D","Passed"
"party140",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gilman","R","NY","legislator","Yea","D","Passed"
"party141",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gingrich","R","GA","legislator","Nay","D","Passed"
"party142",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Glickman","D","KS","legislator","Yea","D","Passed"
"party143",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gonzalez","D","TX","legislator","Yea","D","Passed"
"party144",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Goodlatte","R","VA","legislator","Nay","D","Passed"
"party145",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Goodling","R","PA","legislator","Nay","D","Passed"
"party146",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gordon","D","TN","legislator","Yea","D","Passed"
"party147",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Goss","R","FL","legislator","Nay","D","Passed"
"party148",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Grams","R","MN","legislator","Nay","D","Passed"
"party149",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Grandy","R","IA","legislator","Nay","D","Passed"
"party150",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Green","D","TX","legislator","Yea","D","Passed"
"party151",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Greenwood","R","PA","legislator","Nay","D","Passed"
"party152",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gunderson","R","WI","legislator","Yea","D","Passed"
"party153",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Gutierrez","D","IL","legislator","Yea","D","Passed"
"party154",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hall (OH)","D","OH","legislator","Yea","D","Passed"
