"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Ackerman","D","NY","legislator","Yea","D","Passed"
"party1",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Aderholt","R","AL","legislator","Nay","D","Passed"
"party2",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Adler (NJ)","D","NJ","legislator","Yea","D","Passed"
"party3",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Akin","R","MO","legislator","Nay","D","Passed"
"party4",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Alexander","R","LA","legislator","Nay","D","Passed"
"party5",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Altmire","D","PA","legislator","Yea","D","Passed"
"party6",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Andrews","D","NJ","legislator","Yea","D","Passed"
"party7",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Arcuri","D","NY","legislator","Yea","D","Passed"
"party8",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Austria","R","OH","legislator","Nay","D","Passed"
"party9",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Baca","D","CA","legislator","Yea","D","Passed"
"party10",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bachmann","R","MN","legislator","Nay","D","Passed"
"party11",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bachus","R","AL","legislator","Nay","D","Passed"
"party12",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Baird","D","WA","legislator","Yea","D","Passed"
"party13",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Baldwin","D","WI","legislator","Yea","D","Passed"
"party14",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Barrett (SC)","R","SC","legislator","Not Voting","D","Passed"
"party15",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Barrow","D","GA","legislator","Yea","D","Passed"
"party16",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bartlett","R","MD","legislator","Nay","D","Passed"
"party17",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Barton (TX)","R","TX","legislator","Nay","D","Passed"
"party18",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bean","D","IL","legislator","Yea","D","Passed"
"party19",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Becerra","D","CA","legislator","Yea","D","Passed"
"party20",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Berkley","D","NV","legislator","Yea","D","Passed"
"party21",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Berman","D","CA","legislator","Yea","D","Passed"
"party22",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Berry","D","AR","legislator","Yea","D","Passed"
"party23",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Biggert","R","IL","legislator","Nay","D","Passed"
"party24",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bilbray","R","CA","legislator","Not Voting","D","Passed"
"party25",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bilirakis","R","FL","legislator","Nay","D","Passed"
"party26",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bishop (GA)","D","GA","legislator","Yea","D","Passed"
"party27",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bishop (NY)","D","NY","legislator","Yea","D","Passed"
"party28",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bishop (UT)","R","UT","legislator","Nay","D","Passed"
"party29",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Blackburn","R","TN","legislator","Nay","D","Passed"
"party30",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Blumenauer","D","OR","legislator","Yea","D","Passed"
"party31",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Blunt","R","MO","legislator","Nay","D","Passed"
"party32",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boccieri","D","OH","legislator","Yea","D","Passed"
"party33",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boehner","R","OH","legislator","Nay","D","Passed"
"party34",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bonner","R","AL","legislator","Nay","D","Passed"
"party35",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bono Mack","R","CA","legislator","Nay","D","Passed"
"party36",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boozman","R","AR","legislator","Nay","D","Passed"
"party37",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boren","D","OK","legislator","Yea","D","Passed"
"party38",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boswell","D","IA","legislator","Yea","D","Passed"
"party39",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boucher","D","VA","legislator","Yea","D","Passed"
"party40",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boustany","R","LA","legislator","Nay","D","Passed"
"party41",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Boyd","D","FL","legislator","Not Voting","D","Passed"
"party42",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Brady (PA)","D","PA","legislator","Yea","D","Passed"
"party43",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Brady (TX)","R","TX","legislator","Nay","D","Passed"
"party44",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Braley (IA)","D","IA","legislator","Yea","D","Passed"
"party45",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Bright","D","AL","legislator","Yea","D","Passed"
"party46",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Broun (GA)","R","GA","legislator","Nay","D","Passed"
"party47",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Brown (SC)","R","SC","legislator","Nay","D","Passed"
"party48",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Brown, Corrine","D","FL","legislator","Yea","D","Passed"
"party49",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Brown-Waite, Ginny","R","FL","legislator","Nay","D","Passed"
"party50",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Buchanan","R","FL","legislator","Nay","D","Passed"
"party51",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Burgess","R","TX","legislator","Nay","D","Passed"
"party52",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Burton (IN)","R","IN","legislator","Nay","D","Passed"
"party53",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Butterfield","D","NC","legislator","Yea","D","Passed"
"party54",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Buyer","R","IN","legislator","Nay","D","Passed"
"party55",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Calvert","R","CA","legislator","Nay","D","Passed"
"party56",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Camp","R","MI","legislator","Nay","D","Passed"
"party57",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Campbell","R","CA","legislator","Nay","D","Passed"
"party58",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cantor","R","VA","legislator","Nay","D","Passed"
"party59",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cao","R","LA","legislator","Nay","D","Passed"
"party60",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Capito","R","WV","legislator","Nay","D","Passed"
"party61",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Capps","D","CA","legislator","Yea","D","Passed"
"party62",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Capuano","D","MA","legislator","Yea","D","Passed"
"party63",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cardoza","D","CA","legislator","Not Voting","D","Passed"
"party64",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Carnahan","D","MO","legislator","Yea","D","Passed"
"party65",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Carney","D","PA","legislator","Yea","D","Passed"
"party66",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Carson (IN)","D","IN","legislator","Yea","D","Passed"
"party67",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Carter","R","TX","legislator","Nay","D","Passed"
"party68",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cassidy","R","LA","legislator","Nay","D","Passed"
"party69",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Castle","R","DE","legislator","Nay","D","Passed"
"party70",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Castor (FL)","D","FL","legislator","Yea","D","Passed"
"party71",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Chaffetz","R","UT","legislator","Nay","D","Passed"
"party72",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Chandler","D","KY","legislator","Yea","D","Passed"
"party73",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Childers","D","MS","legislator","Yea","D","Passed"
"party74",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Chu","D","CA","legislator","Yea","D","Passed"
"party75",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Clarke","D","NY","legislator","Yea","D","Passed"
"party76",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Clay","D","MO","legislator","Not Voting","D","Passed"
"party77",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cleaver","D","MO","legislator","Yea","D","Passed"
"party78",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Clyburn","D","SC","legislator","Yea","D","Passed"
"party79",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Coble","R","NC","legislator","Nay","D","Passed"
"party80",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Coffman (CO)","R","CO","legislator","Nay","D","Passed"
"party81",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cohen","D","TN","legislator","Yea","D","Passed"
"party82",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cole","R","OK","legislator","Nay","D","Passed"
"party83",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Conaway","R","TX","legislator","Nay","D","Passed"
"party84",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Connolly (VA)","D","VA","legislator","Yea","D","Passed"
"party85",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Conyers","D","MI","legislator","Yea","D","Passed"
"party86",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cooper","D","TN","legislator","Yea","D","Passed"
"party87",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Costa","D","CA","legislator","Yea","D","Passed"
"party88",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Costello","D","IL","legislator","Yea","D","Passed"
"party89",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Courtney","D","CT","legislator","Yea","D","Passed"
"party90",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Crenshaw","R","FL","legislator","Nay","D","Passed"
"party91",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Crowley","D","NY","legislator","Yea","D","Passed"
"party92",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Cuellar","D","TX","legislator","Yea","D","Passed"
"party93",2010,204,"111","2nd",1,"H RES 1248","On Agreeing to the Resolution","YEA-AND-NAY",2010-04-15,"Culberson","R","TX","legislator","Nay","D","Passed"
