"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Abercrombie","D","HI","legislator","Yea","R","Passed"
"party1",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Ackerman","D","NY","legislator","Not Voting","R","Passed"
"party2",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Aderholt","R","AL","legislator","Nay","R","Passed"
"party3",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Allen","D","ME","legislator","Yea","R","Passed"
"party4",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party5",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Archer","R","TX","legislator","Yea","R","Passed"
"party6",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Armey","R","TX","legislator","Yea","R","Passed"
"party7",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Baca","D","CA","legislator","Yea","R","Passed"
"party8",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bachus","R","AL","legislator","Yea","R","Passed"
"party9",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Baird","D","WA","legislator","Yea","R","Passed"
"party10",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Baker","R","LA","legislator","Not Voting","R","Passed"
"party11",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Baldacci","D","ME","legislator","Yea","R","Passed"
"party12",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Baldwin","D","WI","legislator","Yea","R","Passed"
"party13",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Ballenger","R","NC","legislator","Not Voting","R","Passed"
"party14",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Barcia","D","MI","legislator","Yea","R","Passed"
"party15",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Barr","R","GA","legislator","Nay","R","Passed"
"party16",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Barrett (NE)","R","NE","legislator","Yea","R","Passed"
"party17",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Barrett (WI)","D","WI","legislator","Yea","R","Passed"
"party18",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bartlett","R","MD","legislator","Nay","R","Passed"
"party19",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Barton","R","TX","legislator","Nay","R","Passed"
"party20",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bass","R","NH","legislator","Yea","R","Passed"
"party21",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Becerra","D","CA","legislator","Yea","R","Passed"
"party22",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bentsen","D","TX","legislator","Yea","R","Passed"
"party23",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bereuter","R","NE","legislator","Yea","R","Passed"
"party24",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Berkley","D","NV","legislator","Yea","R","Passed"
"party25",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Berman","D","CA","legislator","Not Voting","R","Passed"
"party26",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Berry","D","AR","legislator","Yea","R","Passed"
"party27",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Biggert","R","IL","legislator","Yea","R","Passed"
"party28",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bilbray","R","CA","legislator","Not Voting","R","Passed"
"party29",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party30",2000,603,"106","2nd",1,"H R 4577","On Agreeing to the Conference Report","YEA-AND-NAY",2000-12-15,"Bishop","D","GA","legislator","Yea","R","Passed"
