"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Abercrombie","D","HI","legislator","Yea","D","Passed"
"party1",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Ackerman","D","NY","legislator","Not Voting","D","Passed"
"party2",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Aderholt","R","AL","legislator","Nay","D","Passed"
"party3",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Akin","R","MO","legislator","Nay","D","Passed"
"party4",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Alexander","R","LA","legislator","Nay","D","Passed"
"party5",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Allen","D","ME","legislator","Yea","D","Passed"
"party6",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Altmire","D","PA","legislator","Yea","D","Passed"
"party7",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Andrews","D","NJ","legislator","Yea","D","Passed"
"party8",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Arcuri","D","NY","legislator","Yea","D","Passed"
"party9",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Baca","D","CA","legislator","Yea","D","Passed"
"party10",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bachmann","R","MN","legislator","Nay","D","Passed"
"party11",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bachus","R","AL","legislator","Nay","D","Passed"
"party12",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Baird","D","WA","legislator","Yea","D","Passed"
"party13",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Baker","R","LA","legislator","Nay","D","Passed"
"party14",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Baldwin","D","WI","legislator","Yea","D","Passed"
"party15",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Barrett (SC)","R","SC","legislator","Nay","D","Passed"
"party16",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Barrow","D","GA","legislator","Nay","D","Passed"
"party17",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bartlett (MD)","R","MD","legislator","Nay","D","Passed"
"party18",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Barton (TX)","R","TX","legislator","Nay","D","Passed"
"party19",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bean","D","IL","legislator","Yea","D","Passed"
"party20",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Becerra","D","CA","legislator","Yea","D","Passed"
"party21",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Berkley","D","NV","legislator","Yea","D","Passed"
"party22",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Berman","D","CA","legislator","Yea","D","Passed"
"party23",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Berry","D","AR","legislator","Yea","D","Passed"
"party24",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Biggert","R","IL","legislator","Nay","D","Passed"
"party25",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bilbray","R","CA","legislator","Nay","D","Passed"
"party26",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bilirakis","R","FL","legislator","Nay","D","Passed"
"party27",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bishop (GA)","D","GA","legislator","Yea","D","Passed"
"party28",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bishop (NY)","D","NY","legislator","Yea","D","Passed"
"party29",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bishop (UT)","R","UT","legislator","Nay","D","Passed"
"party30",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Blackburn","R","TN","legislator","Nay","D","Passed"
"party31",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Blumenauer","D","OR","legislator","Yea","D","Passed"
"party32",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Blunt","R","MO","legislator","Nay","D","Passed"
"party33",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boehner","R","OH","legislator","Nay","D","Passed"
"party34",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bonner","R","AL","legislator","Nay","D","Passed"
"party35",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Bono","R","CA","legislator","Nay","D","Passed"
"party36",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boozman","R","AR","legislator","Nay","D","Passed"
"party37",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boren","D","OK","legislator","Yea","D","Passed"
"party38",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boswell","D","IA","legislator","Yea","D","Passed"
"party39",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boucher","D","VA","legislator","Yea","D","Passed"
"party40",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boustany","R","LA","legislator","Nay","D","Passed"
"party41",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boyd (FL)","D","FL","legislator","Yea","D","Passed"
"party42",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Boyda (KS)","D","KS","legislator","Yea","D","Passed"
"party43",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Brady (PA)","D","PA","legislator","Yea","D","Passed"
"party44",2007,1161,"110","1st",1,"H J RES 69","Table the appeal of the ruling of the Chair","YEA-AND-NAY",2007-12-13,"Brady (TX)","R","TX","legislator","Nay","D","Passed"
