"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Abercrombie","D","HI","legislator","Yea","R","Passed"
"party1",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Ackerman","D","NY","legislator","Yea","R","Passed"
"party2",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Akin","R","MO","legislator","Yea","R","Passed"
"party4",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Allen","D","ME","legislator","Yea","R","Passed"
"party5",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party6",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Armey","R","TX","legislator","Yea","R","Passed"
"party7",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Baca","D","CA","legislator","Yea","R","Passed"
"party8",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bachus","R","AL","legislator","Yea","R","Passed"
"party9",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Baird","D","WA","legislator","Yea","R","Passed"
"party10",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Baker","R","LA","legislator","Yea","R","Passed"
"party11",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Baldacci","D","ME","legislator","Not Voting","R","Passed"
"party12",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Baldwin","D","WI","legislator","Yea","R","Passed"
"party13",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Ballenger","R","NC","legislator","Not Voting","R","Passed"
"party14",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Barcia","D","MI","legislator","Not Voting","R","Passed"
"party15",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Barr","R","GA","legislator","Not Voting","R","Passed"
"party16",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Barrett","D","WI","legislator","Yea","R","Passed"
"party17",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bartlett","R","MD","legislator","Yea","R","Passed"
"party18",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Barton","R","TX","legislator","Yea","R","Passed"
"party19",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bass","R","NH","legislator","Yea","R","Passed"
"party20",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Becerra","D","CA","legislator","Not Voting","R","Passed"
"party21",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bentsen","D","TX","legislator","Yea","R","Passed"
"party22",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bereuter","R","NE","legislator","Yea","R","Passed"
"party23",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Berkley","D","NV","legislator","Yea","R","Passed"
"party24",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Berman","D","CA","legislator","Yea","R","Passed"
"party25",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Berry","D","AR","legislator","Yea","R","Passed"
"party26",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Biggert","R","IL","legislator","Yea","R","Passed"
"party27",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bilirakis","R","FL","legislator","Yea","R","Passed"
"party28",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bishop","D","GA","legislator","Yea","R","Passed"
"party29",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Blagojevich","D","IL","legislator","Not Voting","R","Passed"
"party30",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Blumenauer","D","OR","legislator","Yea","R","Passed"
"party31",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Blunt","R","MO","legislator","Yea","R","Passed"
"party32",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Boehlert","R","NY","legislator","Yea","R","Passed"
"party33",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Boehner","R","OH","legislator","Not Voting","R","Passed"
"party34",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bonilla","R","TX","legislator","Yea","R","Passed"
"party35",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bonior","D","MI","legislator","Not Voting","R","Passed"
"party36",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bono","R","CA","legislator","Yea","R","Passed"
"party37",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Boozman","R","AR","legislator","Yea","R","Passed"
"party38",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Borski","D","PA","legislator","Not Voting","R","Passed"
"party39",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Boswell","D","IA","legislator","Yea","R","Passed"
"party40",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Boucher","D","VA","legislator","Yea","R","Passed"
"party41",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Boyd","D","FL","legislator","Not Voting","R","Passed"
"party42",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Brady (PA)","D","PA","legislator","Yea","R","Passed"
"party43",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Brady (TX)","R","TX","legislator","Yea","R","Passed"
"party44",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Brown (FL)","D","FL","legislator","Yea","R","Passed"
"party45",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Brown (OH)","D","OH","legislator","Yea","R","Passed"
"party46",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Brown (SC)","R","SC","legislator","Yea","R","Passed"
"party47",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Bryant","R","TN","legislator","Yea","R","Passed"
"party48",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Burr","R","NC","legislator","Yea","R","Passed"
"party49",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Burton","R","IN","legislator","Yea","R","Passed"
"party50",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Buyer","R","IN","legislator","Yea","R","Passed"
"party51",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Callahan","R","AL","legislator","Not Voting","R","Passed"
"party52",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Calvert","R","CA","legislator","Yea","R","Passed"
"party53",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Camp","R","MI","legislator","Yea","R","Passed"
"party54",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Cannon","R","UT","legislator","Yea","R","Passed"
"party55",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Cantor","R","VA","legislator","Yea","R","Passed"
"party56",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Capito","R","WV","legislator","Yea","R","Passed"
"party57",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Capps","D","CA","legislator","Yea","R","Passed"
"party58",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Capuano","D","MA","legislator","Yea","R","Passed"
"party59",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Cardin","D","MD","legislator","Yea","R","Passed"
"party60",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Carson (IN)","D","IN","legislator","Yea","R","Passed"
"party61",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Carson (OK)","D","OK","legislator","Yea","R","Passed"
"party62",2002,483,"107","2nd",1,"H R 4628","On Agreeing to the Conference Report","YEA-AND-NAY",2002-11-15,"Castle","R","DE","legislator","Yea","R","Passed"
