"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Ackerman","D","NY","legislator","Nay","R","Passed"
"party1",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Adams","R","FL","legislator","Yea","R","Passed"
"party2",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Akin","R","MO","legislator","Yea","R","Passed"
"party4",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Alexander","R","LA","legislator","Yea","R","Passed"
"party5",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Altmire","D","PA","legislator","Nay","R","Passed"
"party6",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Amash","R","MI","legislator","Yea","R","Passed"
"party7",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Andrews","D","NJ","legislator","Nay","R","Passed"
"party8",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Austria","R","OH","legislator","Not Voting","R","Passed"
"party9",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Baca","D","CA","legislator","Nay","R","Passed"
"party10",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bachmann","R","MN","legislator","Not Voting","R","Passed"
"party11",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bachus","R","AL","legislator","Yea","R","Passed"
"party12",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Baldwin","D","WI","legislator","Nay","R","Passed"
"party13",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Barletta","R","PA","legislator","Not Voting","R","Passed"
"party14",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Barrow","D","GA","legislator","Nay","R","Passed"
"party15",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bartlett","R","MD","legislator","Yea","R","Passed"
"party16",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Barton (TX)","R","TX","legislator","Yea","R","Passed"
"party17",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bass (CA)","D","CA","legislator","Nay","R","Passed"
"party18",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bass (NH)","R","NH","legislator","Yea","R","Passed"
"party19",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Becerra","D","CA","legislator","Nay","R","Passed"
"party20",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Benishek","R","MI","legislator","Yea","R","Passed"
"party21",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Berg","R","ND","legislator","Yea","R","Passed"
"party22",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Berkley","D","NV","legislator","Nay","R","Passed"
"party23",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Berman","D","CA","legislator","Nay","R","Passed"
"party24",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Biggert","R","IL","legislator","Yea","R","Passed"
"party25",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bilbray","R","CA","legislator","Yea","R","Passed"
"party26",2011,707,"112","1st",1,"H RES 372","On Ordering the Previous Question","YEA-AND-NAY",2011-09-15,"Bilirakis","R","FL","legislator","Yea","R","Passed"
