"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Abercrombie","D","HI","legislator","Nay","R","Passed"
"party1",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Ackerman","D","NY","legislator","Nay","R","Passed"
"party2",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Allard","R","CO","legislator","Yea","R","Passed"
"party3",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party4",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Archer","R","TX","legislator","Yea","R","Passed"
"party5",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Armey","R","TX","legislator","Yea","R","Passed"
"party6",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Bachus","R","AL","legislator","Yea","R","Passed"
"party7",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Baesler","D","KY","legislator","Yea","R","Passed"
"party8",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Baker (CA)","R","CA","legislator","Yea","R","Passed"
"party9",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Baker (LA)","R","LA","legislator","Yea","R","Passed"
"party10",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Baldacci","D","ME","legislator","Nay","R","Passed"
"party11",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Ballenger","R","NC","legislator","Yea","R","Passed"
"party12",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Barcia","D","MI","legislator","Yea","R","Passed"
"party13",1996,118,"104","2nd",1,"JOURNAL","On Approving the Journal","YEA-AND-NAY",1996-04-16,"Barr","R","GA","legislator","Yea","R","Passed"
