"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Abercrombie","D","HI","legislator","Not Voting","R","Passed"
"party1",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Ackerman","D","NY","legislator","Yea","R","Passed"
"party2",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Aderholt","R","AL","legislator","Yea","R","Passed"
"party3",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Akin","R","MO","legislator","Yea","R","Passed"
"party4",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Alexander","R","LA","legislator","Yea","R","Passed"
"party5",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Allen","D","ME","legislator","Yea","R","Passed"
"party6",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Andrews","D","NJ","legislator","Yea","R","Passed"
"party7",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Baca","D","CA","legislator","Not Voting","R","Passed"
"party8",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Bachus","R","AL","legislator","Yea","R","Passed"
"party9",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Baird","D","WA","legislator","Yea","R","Passed"
"party10",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Baker","R","LA","legislator","Yea","R","Passed"
"party11",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Baldwin","D","WI","legislator","Yea","R","Passed"
"party12",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Ballenger","R","NC","legislator","Not Voting","R","Passed"
"party13",2004,543,"108","2nd",1,"H CON RES 528","On Motion to Suspend the Rules and Agree to Senate Amendment","2/3 YEA-AND-NAY",2004-12-06,"Barrett (SC)","R","SC","legislator","Yea","R","Passed"
